date,Alameda,Alpine,Amador,Butte,Calaveras,California,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Unknown,Ventura,Yolo,Yuba,total
01/2021,18938,4,573,2440,547,833392,389,14977,96,1896,18615,443,929,2836,377,18279,4112,840,376,286693,3276,2214,84,750,6076,44,230,9695,2191,779,59742,3964,128,72137,18639,1480,60285,72194,7034,13712,5902,9768,10364,26487,4240,1788,12,274,7298,5688,10316,1596,1069,16,9414,538,2,26553,2990,1063,1666784
01/2022,93875,8,1881,7779,2048,2557473,569,62696,1083,6896,64329,994,4540,13814,1057,42964,12882,2427,1245,869323,9178,9313,645,3426,14636,61,654,20573,8079,4342,159062,16718,718,150919,82860,3478,144071,240056,43806,47201,14861,45266,28087,113971,18434,5136,50,589,23671,29011,25735,4465,2203,191,26173,3568,1786,48779,11533,3758,5114946
01/2023,4518,0,119,278,67,104682,35,3251,94,298,2442,22,185,518,43,1794,608,136,36,31631,299,550,35,127,640,13,28,623,375,130,7166,822,18,6097,3231,150,5371,10595,2431,1686,594,2022,1183,6062,618,158,0,44,1227,953,1058,204,82,17,1203,217,1,2035,383,159,209364
02/2020,17,0,0,0,0,470,0,20,0,1,1,0,1,1,0,2,0,0,0,111,2,4,0,0,2,0,1,1,1,0,57,7,0,15,16,0,25,14,12,6,2,29,0,75,8,2,0,0,18,6,2,0,0,0,4,0,0,6,1,0,940
02/2021,5538,7,190,602,120,170543,97,4546,127,548,4972,125,331,626,203,4973,1063,292,168,46146,804,767,19,312,2051,28,49,2066,519,352,10785,1146,21,11289,6352,281,8908,15281,2224,3978,1455,2395,2623,7127,901,553,3,164,1610,1927,3517,470,248,27,2436,345,0,5746,757,333,341086
02/2022,12749,3,436,1690,346,315665,142,8767,709,946,13582,216,1148,2349,87,7564,2827,894,450,78825,2182,1396,127,731,2733,57,66,4584,1569,699,14696,2464,166,16881,12625,622,13830,28898,5826,7031,2821,5099,4310,16917,3920,1543,5,227,4609,4307,5054,816,608,60,5426,715,104,5632,1831,748,631330
02/2023,4384,0,83,269,60,83326,38,2803,87,234,1909,30,154,578,25,1493,338,85,15,23012,241,588,18,102,595,3,10,780,349,119,5273,654,16,4086,3262,149,3881,7411,2502,1827,460,2002,797,5555,730,111,1,45,1071,974,1088,187,58,4,947,163,1,1202,340,127,166652
03/2020,698,1,5,16,6,19223,3,479,1,32,251,3,50,88,10,279,30,1,3,6997,47,22,0,5,43,0,25,82,34,35,1289,114,1,1269,593,29,722,1566,755,229,127,713,221,1354,76,20,0,4,99,142,100,21,1,0,155,3,0,306,59,9,38446
03/2021,2900,5,103,333,96,76696,15,2576,184,329,3358,98,279,430,66,1877,509,164,20,15904,487,422,17,112,1351,13,51,587,379,330,3984,1026,30,3778,4515,131,3100,6911,1103,2933,806,1252,1056,3651,415,381,4,68,1043,1001,2469,275,188,10,970,77,2,1851,445,226,153392
03/2022,4029,2,144,350,68,77789,20,2416,120,248,2075,47,203,347,25,1170,519,144,116,20717,267,702,33,169,484,11,10,762,474,158,4128,585,19,3141,2483,115,2640,7485,3235,1212,665,2231,763,5672,1011,323,0,36,999,1158,795,194,82,8,687,101,0,1494,528,169,155578
03/2023,3339,0,65,156,54,59702,31,2235,24,205,1528,26,96,795,23,1070,218,63,24,15174,240,437,13,74,494,7,13,349,205,103,3525,607,10,3064,2698,102,2572,4936,2073,1456,263,1464,529,4037,561,95,1,20,895,798,839,143,52,0,633,71,0,832,261,104,119404
04/2020,1268,0,3,13,7,46411,0,522,3,31,909,4,9,489,9,969,229,8,0,23401,39,10,15,7,158,0,5,191,48,6,2587,57,3,3670,537,25,1925,3026,1097,366,136,716,321,1228,59,17,0,1,250,142,364,10,0,1,971,0,2,409,128,10,92822
04/2021,2724,2,62,488,87,60360,35,2284,128,541,1727,36,399,616,22,1094,218,102,28,11507,330,272,28,87,779,12,13,369,334,330,2752,1057,17,2896,4321,140,2499,6286,918,2124,588,1044,755,3203,258,523,1,198,1233,528,1953,202,173,4,490,59,0,878,445,161,120720
04/2022,8727,1,65,223,85,128906,15,4832,80,336,1251,14,499,237,19,796,182,84,15,39799,153,1260,44,191,346,3,24,858,703,201,7057,788,21,4723,3419,121,4609,10514,6867,1334,719,5203,1362,10720,1816,162,4,23,1556,2372,780,126,48,3,372,161,6,1947,923,107,257812
04/2023,2281,0,51,119,30,38213,9,1627,10,191,1078,19,49,578,24,499,158,56,5,9042,231,330,11,61,229,9,5,228,127,153,2194,429,18,1529,2075,71,1823,3175,1303,749,215,872,424,2675,345,82,0,32,552,577,481,101,38,6,350,24,2,565,217,79,76426
05/2020,1886,0,2,51,5,70911,6,701,41,55,2199,13,53,3233,1,1673,1001,23,7,31937,183,143,1,20,215,0,8,447,65,9,5329,116,0,4905,386,44,3776,4022,864,589,100,954,1259,831,88,21,1,7,309,352,447,19,9,6,1507,2,0,926,53,11,141822
05/2021,1523,0,42,392,78,35001,26,1573,87,287,1116,45,441,342,5,823,152,70,47,5927,155,159,13,188,406,13,14,239,117,150,1309,637,20,1727,2910,44,1605,3272,495,1255,279,472,261,1120,124,493,1,172,757,544,1252,158,127,1,461,51,0,595,245,184,70002
05/2022,22146,3,265,993,198,371887,32,14625,358,1263,5832,82,1141,1131,96,3619,977,328,135,105331,864,3236,154,544,1432,15,47,2514,1346,659,21922,3163,151,15793,14551,578,12522,32492,14605,5515,2328,12272,4058,30778,2905,623,3,129,5395,6075,3158,517,198,21,1960,515,0,6935,2824,535,743774
05/2023,1845,0,21,162,22,29221,8,1154,21,115,773,19,51,302,13,407,123,41,23,7247,110,276,6,27,171,13,0,175,140,65,1927,377,13,1008,1512,51,1120,2219,965,709,193,742,330,2157,271,67,0,20,378,393,405,89,50,1,172,37,3,488,127,67,58442
06/2020,3478,0,24,228,40,171699,85,2421,14,183,6657,145,47,4397,14,6682,1549,63,238,58973,741,262,18,58,1444,1,10,1563,339,108,14924,711,8,15041,3062,202,13419,9323,1398,4439,527,1325,2077,2568,254,160,0,23,1307,909,3352,196,94,12,3049,46,0,2901,514,76,343398
06/2021,1559,1,80,238,38,32984,19,1542,49,203,722,18,242,175,12,613,132,106,77,7762,187,136,6,174,224,38,3,166,142,149,1565,600,14,1797,2389,63,1730,2558,509,986,136,492,206,957,115,271,6,32,651,946,734,170,61,11,230,59,0,543,185,155,65968
06/2022,23208,1,447,1761,321,478814,84,15431,431,1607,10978,152,1090,2488,100,7319,1800,541,246,135893,1609,2971,206,743,2466,36,70,3872,1881,839,32010,3411,163,23960,18271,930,22312,43984,13780,8173,2970,12011,4509,31884,3706,1126,10,228,6943,6051,4975,875,404,58,3848,637,542,8471,3221,760,957628
06/2023,1346,0,14,35,27,21732,3,904,17,48,641,15,47,68,7,284,116,37,2,5776,82,188,4,28,147,0,8,127,77,27,1469,178,2,679,931,38,880,1744,844,473,118,610,235,1654,152,42,0,14,294,272,265,51,25,6,136,37,2,370,91,45,43464
07/2020,6567,1,155,873,92,279307,282,6369,29,507,11924,215,104,2168,38,15429,2038,142,391,82493,1868,699,27,231,4200,5,100,3336,687,185,19707,1323,22,20573,8420,420,20463,14656,3281,9201,1271,2838,2964,7048,861,273,2,62,2394,2250,7570,649,177,8,5705,104,0,4375,1125,410,558614
07/2021,8305,2,223,815,168,189924,79,7228,274,912,3453,65,798,645,49,2610,789,825,72,57958,643,880,53,427,973,9,41,747,543,827,11920,2117,57,11649,9762,170,10246,17872,5120,3891,903,2720,1461,5328,614,639,13,116,2835,2470,2475,646,171,20,1045,463,1,3096,1080,611,379848
07/2022,20460,1,346,1599,338,521528,110,13259,506,1273,14330,144,1111,3886,124,8984,2686,545,223,162152,2141,2236,167,802,3056,59,58,4193,1370,641,35697,2956,197,32996,15466,854,31278,50205,10511,8138,2528,9894,5238,26677,3621,1276,8,130,5552,4699,5823,1036,496,86,5009,882,1400,9456,1812,807,1043056
07/2023,411,0,3,10,5,6142,4,309,3,14,191,4,32,13,3,76,38,18,2,1217,27,66,2,10,39,1,2,59,27,4,489,71,2,202,284,22,279,431,231,156,31,192,95,491,49,10,0,4,109,100,94,20,3,0,21,5,3,116,32,10,12284
08/2020,5359,0,86,1247,120,148312,99,4378,28,224,6183,99,161,958,109,5050,1624,130,85,42008,1110,43,12,340,2202,12,14,2767,331,119,6933,854,9,8722,5927,444,9357,7938,2465,3966,1051,2217,1523,5901,601,144,3,43,1311,2380,3591,546,166,20,3491,56,0,2668,685,402,296624
08/2021,11937,1,657,2908,714,387043,271,12333,1303,2441,12718,411,1936,1178,105,9992,3099,1102,482,89047,1881,1264,272,1384,3849,24,117,2134,1161,1901,20424,5535,298,27266,20655,460,24296,37513,5773,10758,3791,4548,4018,11405,1740,2840,43,527,5599,4268,8236,1795,1104,128,5859,1079,0,6573,2250,1640,774086
08/2022,11456,3,230,1206,221,298797,63,7647,176,726,8291,87,746,1692,45,5102,1734,447,346,90424,1465,1260,96,488,2075,18,24,2572,837,463,19262,1856,85,20374,10032,598,20435,24159,5354,5819,1639,5126,3592,14525,2284,793,7,118,2999,2870,4182,848,278,37,3400,477,93,5966,1062,587,597594
09/2020,2587,1,25,554,43,98216,60,2611,30,215,3026,127,92,678,15,2276,1602,232,26,27768,688,20,5,273,775,11,6,1832,266,94,5266,544,8,6609,4259,190,6367,8557,1615,1723,647,1622,941,3667,581,710,0,23,871,1820,1311,268,199,11,1813,23,0,2111,327,195,196432
09/2021,5677,8,562,2785,567,231387,109,5326,508,1277,10957,363,1122,1325,228,9293,2757,730,619,45851,1955,678,257,1008,3426,31,153,1584,771,850,10321,3277,299,16911,11669,337,13991,19637,2923,6735,2086,2482,2595,6050,949,3209,20,556,2528,1899,6102,1159,1207,141,6348,824,0,4015,1329,1011,462774
09/2022,5594,2,121,557,92,126815,48,3659,91,377,2999,48,430,748,42,2084,633,172,53,38176,598,719,44,199,738,8,17,749,437,259,8147,970,78,7111,4652,254,6756,11065,3040,2251,675,2639,1302,6826,959,452,3,91,1346,1446,1486,369,163,10,1130,213,12,2866,540,269,253630
10/2020,2635,7,70,316,36,120213,41,2239,43,271,3245,103,75,1268,55,2296,911,151,44,38412,529,12,6,183,805,23,95,1661,432,134,6529,993,44,9431,3823,120,11078,10218,1279,1998,770,1334,809,3865,535,1283,1,83,1390,2129,1427,226,371,47,1719,87,1,1798,514,213,240426
10/2021,3576,2,364,1607,417,163510,85,3223,128,909,9401,205,605,1663,553,7545,2279,444,390,31509,1815,487,269,510,2352,52,144,885,448,605,7609,2245,402,11379,7906,313,10471,14351,1822,3987,1232,1556,1672,4599,716,2080,44,161,1359,1657,4289,614,863,72,4723,800,1,2463,1035,617,327020
10/2022,4396,1,68,317,71,86969,22,2991,48,376,1699,43,301,571,26,1249,389,115,48,24939,250,660,34,163,475,8,11,542,256,175,5336,734,52,4304,3579,149,4116,7503,2545,1451,412,2333,838,5492,1061,323,2,53,1193,1046,916,187,110,21,595,132,33,1619,411,179,173938
11/2020,8463,44,502,1230,230,399445,283,6706,212,1691,10542,376,443,3802,94,9316,3117,361,1642,119855,1800,27,68,530,2925,79,319,4917,1429,973,25472,3705,154,31310,14559,594,41021,31040,3879,6200,2316,4081,2103,13689,2190,3330,12,486,3560,3211,5547,2039,912,187,4720,914,1,7197,2056,984,798890
11/2021,3630,4,184,904,342,151991,106,2891,95,757,6105,99,652,1877,207,5295,1293,205,202,33712,1252,670,151,584,1536,62,187,1141,400,652,7943,1707,175,12469,5898,284,12832,14979,1967,3203,1095,1701,1644,5484,1092,1150,13,123,1233,1651,2874,384,302,46,2538,454,8,2450,740,357,303982
11/2022,7754,3,124,667,134,176279,42,4922,99,695,4270,93,451,1358,106,2336,987,230,110,58069,573,891,78,180,1064,22,21,1016,522,383,9994,1423,30,9869,6493,363,10397,13837,4036,3241,673,3560,1386,9759,1366,448,0,102,2131,1466,1799,378,273,23,1576,351,8,3108,695,294,352558
12/2020,23732,15,1841,3791,667,1163669,532,17425,398,3523,28132,604,892,6737,386,26404,5010,959,2143,410026,4590,593,123,937,7606,136,324,13435,2728,1243,89051,7121,245,100957,28254,1912,108891,85963,8384,20601,5472,11614,7192,36952,5061,2665,17,334,9520,7183,13296,2805,1364,133,13390,1732,4,23121,3700,1803,2327338
12/2021,22945,6,300,1557,377,724408,96,15985,115,1787,8958,145,1371,3420,343,7346,1748,265,88,270120,1260,3921,147,621,2260,16,330,3614,2345,925,55399,4190,111,44592,18160,1060,46459,81249,17417,8352,3461,13594,6535,26489,3022,1003,19,118,5067,6079,4767,747,323,23,3054,583,242,16696,2526,660,1448816
12/2022,10458,0,177,641,152,234431,48,7200,155,676,5667,76,449,1478,72,3901,1032,261,71,71454,828,1202,92,274,1182,34,47,1023,701,339,15470,1510,47,14744,7594,510,14944,21978,5385,3958,997,4400,2133,12921,1501,488,3,72,2884,2176,2346,477,296,13,2108,450,2,4170,783,381,468862
