date,Alameda,Alpine,Amador,Butte,Calaveras,California,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Unknown,Ventura,Yolo,Yuba,total
01/2021,2114750,2243,94101,304849,48829,94220998,50407,1643410,26723,246540,2628959,61287,75693,793923,29707,2532747,607170,80663,148634,31730927,423183,98733,10248,94159,742669,9078,33117,1117719,237837,103811,6659575,559270,17870,7677748,2515038,152486,7945815,6848388,909012,1791059,499964,1036378,790586,2908221,402799,301851,1343,38241,789993,744130,1339830,239043,121691,13541,1309758,101787,286,1924151,341512,147516,188000000
01/2022,6271948,3605,217768,859037,183847,221000000,92937,4830263,135289,706769,5850394,131667,425936,1441874,111925,5103223,1291030,260969,238784,71236353,938468,600717,60815,329916,1666576,19929,83044,1996022,637741,409928,14704641,1634140,75168,15858381,7204055,333156,15615067,19125680,3102417,4300789,1322863,3028334,2138167,7677515,1061018,812179,7683,119994,2030478,2046833,3106472,542493,319085,31459,2707052,313747,38889,4587683,937552,410238,443000000
01/2023,11575871,4309,322910,1281294,276087,341000000,121866,8329496,241402,1060664,9048949,178324,720753,2149695,146422,7076327,1929456,418029,317161,107000000,1423752,1235469,103308,518347,2377444,29472,102465,3008440,1056908,619642,21947878,2482713,117930,22594180,11372838,539366,21840911,29970433,5974038,6434302,2038868,5599448,3436820,14530194,2089714,1126776,9610,167387,3478976,3484523,4452567,787468,444544,45306,3938293,515341,131754,6786829,1536272,614360,683000000
02/2020,219,0,0,0,0,4956,0,151,0,1,11,0,19,7,0,49,0,0,0,1377,12,13,0,0,17,0,1,28,3,0,975,45,0,180,95,0,342,78,96,53,27,196,0,537,46,4,0,0,154,51,30,0,0,0,64,0,0,68,7,0,9912
02/2021,2215362,2157,95417,311575,52398,96947849,51674,1725391,26911,251253,2650223,62001,85032,758043,34369,2572344,613765,86557,141908,32483460,429483,125797,10440,99606,775377,9255,32679,1157001,248076,108697,6835750,565032,17779,7902232,2585600,158087,7935455,7236334,937420,1835189,539625,1084518,880526,3023633,423646,301115,1398,40234,822042,765651,1386919,242814,126851,12790,1329219,104488,280,2133233,353065,150673,194000000
02/2022,6958425,3389,230366,904962,198545,234000000,94850,5238226,152139,732382,6411654,137019,456935,1522040,112516,5271245,1403684,285863,242691,74704464,1017837,671043,64723,354581,1740441,19864,82436,2162758,695945,436393,15113893,1722120,81104,16325899,7690796,354296,15887299,20392764,3357323,4573180,1424921,3310633,2345724,8532526,1277576,832426,7522,120707,2215959,2272872,3227491,560167,329078,32296,2915457,346295,59739,4758647,1007086,431191,468000000
02/2023,10573304,3892,294618,1165087,251136,311000000,111019,7602550,221368,964908,8230085,161806,655750,1955879,133224,6432287,1756196,380405,287049,97525174,1292897,1131236,93921,471361,2164747,26754,92978,2737748,964844,563135,19982227,2261936,106927,20538529,10356935,491519,19848501,27303254,5460960,5858202,1856520,5112450,3130517,13276813,1907639,1020906,8689,152330,3172782,3173266,4050740,716395,403231,41262,3586695,470440,119033,6171406,1397358,558367,622000000
03/2020,9057,14,51,167,102,224065,26,6589,1,479,2356,28,591,946,70,2543,361,2,48,70287,710,412,0,64,433,0,330,979,374,453,16837,1642,4,12583,7607,396,7149,19429,9594,2902,1766,9939,2415,21585,1380,263,0,62,1630,2106,1154,178,9,0,1416,45,0,3675,715,111,448130
03/2021,2564462,2582,109181,357628,60941,110000000,58428,2009089,34436,289465,3056371,71570,104436,851905,42037,2936487,700685,102150,159206,36693097,494814,156707,11973,115097,906981,10719,37551,1311746,286623,130089,7746116,657136,20410,8931486,3011545,180179,8927030,8291965,1080266,2126286,626374,1248115,1022151,3497072,486397,345682,1650,48035,944550,890522,1616236,278778,145803,14631,1518100,120617,328,2455598,407859,174784,221000000
03/2022,7897108,3804,262838,1024787,224217,263000000,106710,5924701,178668,824552,7268355,154442,522526,1715045,125865,5932886,1590761,329763,277221,83799468,1152704,768172,73907,403056,1963432,22666,91889,2450703,795711,492640,16955978,1939324,91768,18290448,8678069,400426,17758177,22992659,3829821,5152127,1619747,3749235,2648037,9701432,1471039,944138,8370,136844,2515002,2576961,3635685,632423,371899,36609,3290982,392199,66774,5347774,1142539,488002,526000000
